id,category,question,option_a,option_b,option_c,option_d,correct
1,Führung,In deiner Rolle als Führungskraft: du remote führst und Missverständnisse zunehmen. Was ist der sinnvollste erste Schritt?,"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Beteiligte einbeziehen, Ziele klären, dann entscheiden.",D
2,Führung,In deiner Rolle als Führungskraft: die Leistung im Team seit Wochen sinkt. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Impact/Dringlichkeit, Engpass zuerst.","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",B
3,Führung,In deiner Rolle als Führungskraft: zwei Teammitglieder unterschiedliche Prioritäten setzen. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Das Thema vertagen, bis es sich von selbst beruhigt",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) konkret, zeitnah, verhaltensbezogen.",D
4,Führung,In deiner Rolle als Führungskraft: eine erfahrene Fachkraft die Prozesse ignoriert. Was ist der sinnvollste erste Schritt?,"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",C) Reifegrad einschätzen und Führungsstil anpassen.,D) Die Verantwortung vollständig an eine andere Person abgeben,C
5,Führung,In deiner Rolle als Führungskraft: ein neues Team übernimmt und die Rollen unklar sind. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) konkret, zeitnah, verhaltensbezogen.",D
6,Führung,In deiner Rolle als Führungskraft: ein High Performer toxisches Verhalten zeigt. Was ist der sinnvollste erste Schritt?,"A) Beteiligte einbeziehen, Ziele klären, dann entscheiden.","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",A
7,Führung,In deiner Rolle als Führungskraft: du remote führst und Missverständnisse zunehmen. Was ist der sinnvollste erste Schritt? (Variante 7),"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Das Thema vertagen, bis es sich von selbst beruhigt",C) Reifegrad einschätzen und Führungsstil anpassen.,"D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
8,Führung,In deiner Rolle als Führungskraft: ein Projekt in Verzug gerät und der Sponsor Druck macht. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) konkret, zeitnah, verhaltensbezogen.",D) Die Verantwortung vollständig an eine andere Person abgeben,C
9,Führung,In deiner Rolle als Führungskraft: du remote führst und Missverständnisse zunehmen. Was ist der sinnvollste erste Schritt? (Variante 9),"A) konkret, zeitnah, verhaltensbezogen.",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Das Thema vertagen, bis es sich von selbst beruhigt",A
10,Führung,In deiner Rolle als Führungskraft: zwei Teammitglieder unterschiedliche Prioritäten setzen. Was ist der sinnvollste erste Schritt? (Variante 10),A) Reifegrad einschätzen und Führungsstil anpassen.,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) Das Thema vertagen, bis es sich von selbst beruhigt",A
11,Führung,In deiner Rolle als Führungskraft: ein wichtiger Kunde kurzfristig Änderungen verlangt. Was ist der sinnvollste erste Schritt?,"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B) Reifegrad einschätzen und Führungsstil anpassen.,"C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",B
12,Führung,In deiner Rolle als Führungskraft: die Leistung im Team seit Wochen sinkt. Was ist der sinnvollste erste Schritt? (Variante 12),"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",D) Reifegrad einschätzen und Führungsstil anpassen.,D
13,Führung,In deiner Rolle als Führungskraft: eine erfahrene Fachkraft die Prozesse ignoriert. Was ist der sinnvollste erste Schritt? (Variante 13),"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) SMART Erwartungen, Verantwortlichkeiten, Deadlines.",D
14,Führung,In deiner Rolle als Führungskraft: ein neues Team übernimmt und die Rollen unklar sind. Was ist der sinnvollste erste Schritt? (Variante 14),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","D) Impact/Dringlichkeit, Engpass zuerst.",D
15,Führung,"In deiner Rolle als Führungskraft: ein Teammitglied ständig zusagt, aber nicht liefert. Was ist der sinnvollste erste Schritt?",A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) konkret, zeitnah, verhaltensbezogen.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
16,Führung,"In deiner Rolle als Führungskraft: ein Teammitglied ständig zusagt, aber nicht liefert. Was ist der sinnvollste erste Schritt? (Variante 16)","A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Impact/Dringlichkeit, Engpass zuerst.",D
17,Führung,In deiner Rolle als Führungskraft: eine erfahrene Fachkraft die Prozesse ignoriert. Was ist der sinnvollste erste Schritt? (Variante 17),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Beteiligte einbeziehen, Ziele klären, dann entscheiden.",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Das Thema vertagen, bis es sich von selbst beruhigt",B
18,Führung,In deiner Rolle als Führungskraft: die Leistung im Team seit Wochen sinkt. Was ist der sinnvollste erste Schritt? (Variante 18),"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Das Thema vertagen, bis es sich von selbst beruhigt",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) konkret, zeitnah, verhaltensbezogen.",D
19,Führung,"In deiner Rolle als Führungskraft: ein Teammitglied ständig zusagt, aber nicht liefert. Was ist der sinnvollste erste Schritt? (Variante 19)","A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Beteiligte einbeziehen, Ziele klären, dann entscheiden.","C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",D) Sofort eine Entscheidung allein treffen und kommunizieren,B
20,Führung,In deiner Rolle als Führungskraft: ein neues Team übernimmt und die Rollen unklar sind. Was ist der sinnvollste erste Schritt? (Variante 20),"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren",B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Beteiligte einbeziehen, Ziele klären, dann entscheiden.",D
21,Führung,In deiner Rolle als Führungskraft: du eine Veränderung (Change) einführen musst. Was ist der sinnvollste erste Schritt?,"A) Impact/Dringlichkeit, Engpass zuerst.","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",D) Sofort eine Entscheidung allein treffen und kommunizieren,A
22,Führung,In deiner Rolle als Führungskraft: zwei Teammitglieder unterschiedliche Prioritäten setzen. Was ist der sinnvollste erste Schritt? (Variante 22),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Impact/Dringlichkeit, Engpass zuerst.",D) Die Verantwortung vollständig an eine andere Person abgeben,C
23,Führung,In deiner Rolle als Führungskraft: ein wichtiger Kunde kurzfristig Änderungen verlangt. Was ist der sinnvollste erste Schritt? (Variante 23),"A) Impact/Dringlichkeit, Engpass zuerst.","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Einzelne Schuldige benennen, um ein Exempel zu statuieren",D) Die Verantwortung vollständig an eine andere Person abgeben,A
24,Führung,In deiner Rolle als Führungskraft: ein High Performer toxisches Verhalten zeigt. Was ist der sinnvollste erste Schritt? (Variante 24),"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Impact/Dringlichkeit, Engpass zuerst.",D
25,Führung,In deiner Rolle als Führungskraft: du eine Veränderung (Change) einführen musst. Was ist der sinnvollste erste Schritt? (Variante 25),"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C) Reifegrad einschätzen und Führungsstil anpassen.,"D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
26,Führung,In deiner Rolle als Führungskraft: ein wichtiger Kunde kurzfristig Änderungen verlangt. Was ist der sinnvollste erste Schritt? (Variante 26),A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Beteiligte einbeziehen, Ziele klären, dann entscheiden.",D
27,Führung,In deiner Rolle als Führungskraft: du remote führst und Missverständnisse zunehmen. Was ist der sinnvollste erste Schritt? (Variante 27),"A) Impact/Dringlichkeit, Engpass zuerst.",B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",A
28,Führung,In deiner Rolle als Führungskraft: die Leistung im Team seit Wochen sinkt. Was ist der sinnvollste erste Schritt? (Variante 28),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Beteiligte einbeziehen, Ziele klären, dann entscheiden.","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C
29,Führung,In deiner Rolle als Führungskraft: die Leistung im Team seit Wochen sinkt. Was ist der sinnvollste erste Schritt? (Variante 29),A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) SMART Erwartungen, Verantwortlichkeiten, Deadlines.",D
30,Führung,In deiner Rolle als Führungskraft: du eine Veränderung (Change) einführen musst. Was ist der sinnvollste erste Schritt? (Variante 30),A) Die Verantwortung vollständig an eine andere Person abgeben,"B) SMART Erwartungen, Verantwortlichkeiten, Deadlines.","C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B
31,Konflikt,In deiner Rolle als Führungskraft: ein Teammitglied passiv-aggressiv reagiert. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Rahmen setzen, Regeln, nacheinander sprechen.","D) Das Thema vertagen, bis es sich von selbst beruhigt",C
32,Konflikt,In deiner Rolle als Führungskraft: Gerüchte im Team die Stimmung kippen lassen. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C) Die Verantwortung vollständig an eine andere Person abgeben,D) RACI/Zuständigkeiten fixieren.,D
33,Konflikt,In deiner Rolle als Führungskraft: zwei Abteilungen sich gegenseitig blockieren. Was ist der sinnvollste erste Schritt?,"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) Ich-Botschaften, konkrete Beispiele, Vereinbarung.",D
34,Konflikt,In deiner Rolle als Führungskraft: ein Konflikt um Ressourcen entsteht. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Ich-Botschaften, konkrete Beispiele, Vereinbarung.","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Das Thema vertagen, bis es sich von selbst beruhigt",B
35,Konflikt,In deiner Rolle als Führungskraft: ein Kunde sich über Tonfall beschwert. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Bedürfnisse klären, gemeinsame Ziele definieren.",D
36,Konflikt,In deiner Rolle als Führungskraft: über Zuständigkeiten gestritten wird. Was ist der sinnvollste erste Schritt?,"A) Rahmen setzen, Regeln, nacheinander sprechen.","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Einzelne Schuldige benennen, um ein Exempel zu statuieren",D) Die Verantwortung vollständig an eine andere Person abgeben,A
37,Konflikt,In deiner Rolle als Führungskraft: ein Mitarbeiter sich unfair behandelt fühlt. Was ist der sinnvollste erste Schritt?,"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Bedürfnisse klären, gemeinsame Ziele definieren.",D) Die Verantwortung vollständig an eine andere Person abgeben,C
38,Konflikt,In deiner Rolle als Führungskraft: ein Streit in einem Meeting eskaliert. Was ist der sinnvollste erste Schritt?,"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Ich-Botschaften, konkrete Beispiele, Vereinbarung.",D
39,Konflikt,In deiner Rolle als Führungskraft: ein Teammitglied passiv-aggressiv reagiert. Was ist der sinnvollste erste Schritt? (Variante 9),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Das Thema vertagen, bis es sich von selbst beruhigt",C) RACI/Zuständigkeiten fixieren.,D) Die Verantwortung vollständig an eine andere Person abgeben,C
40,Konflikt,In deiner Rolle als Führungskraft: ein Teammitglied passiv-aggressiv reagiert. Was ist der sinnvollste erste Schritt? (Variante 10),"A) Ich-Botschaften, konkrete Beispiele, Vereinbarung.",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) Das Thema vertagen, bis es sich von selbst beruhigt",A
41,Konflikt,In deiner Rolle als Führungskraft: über Zuständigkeiten gestritten wird. Was ist der sinnvollste erste Schritt? (Variante 11),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Ich-Botschaften, konkrete Beispiele, Vereinbarung.",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",B
42,Konflikt,In deiner Rolle als Führungskraft: Gerüchte im Team die Stimmung kippen lassen. Was ist der sinnvollste erste Schritt? (Variante 12),"A) Das Thema vertagen, bis es sich von selbst beruhigt",B) Sofort eine Entscheidung allein treffen und kommunizieren,C) Die Verantwortung vollständig an eine andere Person abgeben,"D) Pause, Emotionen benennen, Sachebene herstellen.",D
43,Konflikt,In deiner Rolle als Führungskraft: es wiederholt zu Missverständnissen kommt. Was ist der sinnvollste erste Schritt?,"A) Das Thema vertagen, bis es sich von selbst beruhigt",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Pause, Emotionen benennen, Sachebene herstellen.","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C
44,Konflikt,In deiner Rolle als Führungskraft: Gerüchte im Team die Stimmung kippen lassen. Was ist der sinnvollste erste Schritt? (Variante 14),"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) Ich-Botschaften, konkrete Beispiele, Vereinbarung.",D
45,Konflikt,In deiner Rolle als Führungskraft: über Zuständigkeiten gestritten wird. Was ist der sinnvollste erste Schritt? (Variante 15),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B) Die Verantwortung vollständig an eine andere Person abgeben,C) RACI/Zuständigkeiten fixieren.,D) Sofort eine Entscheidung allein treffen und kommunizieren,C
46,Konflikt,In deiner Rolle als Führungskraft: ein Kunde sich über Tonfall beschwert. Was ist der sinnvollste erste Schritt? (Variante 16),"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Rahmen setzen, Regeln, nacheinander sprechen.",D
47,Konflikt,In deiner Rolle als Führungskraft: ein Mitarbeiter sich unfair behandelt fühlt. Was ist der sinnvollste erste Schritt? (Variante 17),"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren",B) RACI/Zuständigkeiten fixieren.,C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Das Thema vertagen, bis es sich von selbst beruhigt",B
48,Konflikt,In deiner Rolle als Führungskraft: ein Streit in einem Meeting eskaliert. Was ist der sinnvollste erste Schritt? (Variante 18),A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Bedürfnisse klären, gemeinsame Ziele definieren.","C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","D) Das Thema vertagen, bis es sich von selbst beruhigt",B
49,Konflikt,In deiner Rolle als Führungskraft: ein Streit in einem Meeting eskaliert. Was ist der sinnvollste erste Schritt? (Variante 19),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Das Thema vertagen, bis es sich von selbst beruhigt",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) Pause, Emotionen benennen, Sachebene herstellen.",D
50,Konflikt,In deiner Rolle als Führungskraft: ein Teammitglied passiv-aggressiv reagiert. Was ist der sinnvollste erste Schritt? (Variante 20),"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Pause, Emotionen benennen, Sachebene herstellen.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
51,Motivation,In deiner Rolle als Führungskraft: das Team zu wenig Anerkennung bekommt. Was ist der sinnvollste erste Schritt?,"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) konkret loben, Erfolge sichtbar machen.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
52,Motivation,In deiner Rolle als Führungskraft: ein neuer Kollege nicht integriert wird. Was ist der sinnvollste erste Schritt?,"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) konkret loben, Erfolge sichtbar machen.",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B
53,Motivation,In deiner Rolle als Führungskraft: das Team zu wenig Anerkennung bekommt. Was ist der sinnvollste erste Schritt? (Variante 3),"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C) Die Verantwortung vollständig an eine andere Person abgeben,D) Beitrag zum Ganzen sichtbar machen.,D
54,Motivation,In deiner Rolle als Führungskraft: die Zielerreichung nur noch über Druck funktioniert. Was ist der sinnvollste erste Schritt?,"A) konkret loben, Erfolge sichtbar machen.","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",D) Die Verantwortung vollständig an eine andere Person abgeben,A
55,Motivation,In deiner Rolle als Führungskraft: Mikromanagement die Eigeninitiative tötet. Was ist der sinnvollste erste Schritt?,A) Beitrag zum Ganzen sichtbar machen.,"B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",A
56,Motivation,In deiner Rolle als Führungskraft: ein Teammitglied innerlich gekündigt wirkt. Was ist der sinnvollste erste Schritt?,"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Handlungsspielräume geben, Verantwortung übertragen.","C) Das Thema vertagen, bis es sich von selbst beruhigt",D) Die Verantwortung vollständig an eine andere Person abgeben,B
57,Motivation,In deiner Rolle als Führungskraft: nach einer Umstrukturierung Unsicherheit herrscht. Was ist der sinnvollste erste Schritt?,"A) konkret loben, Erfolge sichtbar machen.",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) Das Thema vertagen, bis es sich von selbst beruhigt",A
58,Motivation,In deiner Rolle als Führungskraft: ein neuer Kollege nicht integriert wird. Was ist der sinnvollste erste Schritt? (Variante 8),A) Beitrag zum Ganzen sichtbar machen.,"B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",A
59,Motivation,In deiner Rolle als Führungskraft: das Team zu wenig Anerkennung bekommt. Was ist der sinnvollste erste Schritt? (Variante 9),"A) Training/Coaching, klare Lernziele, Feedback.","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Das Thema vertagen, bis es sich von selbst beruhigt",A
